name,location_x,location_y,reviews,rating,staff,facilities,cleanliness,comfort,money_value,location,wifi,night_price
Hotel Lawrence d'Arabie,31.62681486,-8.01640257,2,7.2,8.2,7.1,7.5,7.5,7.6,8.4,7.7,752
RIAD MAROSKO,31.512373,-9.767399,209,8.8,9.6,8.9,9.2,9.2,9,9.3,9.6,892
Ibis Casanearshore,33.52721989,-7.63982177,351,7,8.2,7.1,7.6,7.4,6.9,7.7,7.8,637
Dar De Santis,33.3510581,-8.30853939,99,7.1,8.9,6.8,7.9,7.6,6.8,7.1,4.2,557
Riad Le Jardin d'Abdou,31.62791567,-7.97410011,438,8.9,9.6,9.1,9.4,9.4,9.2,7.9,8,1159
Lodge Hara Oasis,30.69018929,-6.42692953,163,9.3,9.7,9.2,9.4,9.4,9.2,9.5,5.8,869
Erg Chebbi Camp,31.08349236,-3.96839217,81,9.3,9.5,9.5,9.7,9.8,9,9.4,9.5,1505
Erg Chebbi Camel Trek Camp,31.10181485,-3.94808099,73,9.4,9.7,9.4,9.4,9.4,9.4,9.8,10,602
La Palmeraie De Massa,29.96372507,-9.6614711,76,9.2,9.4,9.1,9.3,9.2,9.1,9.3,8.3,535
Hotel al Madina,32.293681,-9.233191,118,8.1,9,8.1,8.9,8.7,7.9,8.5,8,712
Le Douar Berbere,31.3932545,-7.75424212,24,9.5,9.7,9.1,9.6,9.8,9.3,9.8,9.7,1560
Riad Kasbah des Roches,31.55003454,-5.90958564,70,8.7,9.9,8,9,8.5,9.1,9.2,9.9,390
KENZ MEHDIA Hôtel Ressort,34.258901,-6.671952,234,7.2,8.1,7.2,7.6,7.7,7.2,8.3,7,732
Luxurious Merzouga Desert Camp,31.07895091,-3.97100196,26,8.8,9.5,8.8,9,9.2,8.8,9.4,9.5,1128
Grand Mogador Menara,31.62385769,-8.01245034,1,7.1,8.1,7.1,7.7,7.8,7.1,8.6,7.7,1194
Riad Fes Iline,34.06091801,-4.98052204,280,8.8,9.4,8.6,8.9,8.8,9.1,9.5,8.5,853
Riad Olika,31.62694963,-7.98507325,132,9.4,9.9,9.4,9.6,9.5,9.3,9.6,7.5,1783
Riad Cafe Du Sud,31.209138,-4.024716,17,8.9,9,9,9.4,9,8.8,9.1,9,1980
Hotel Miramar,35.77898513,-5.80242789,558,6.9,8.3,6.7,7.4,7.3,7.2,9,7.1,502
Relax Oujda,34.73450633,-1.92800134,1,8.6,9.3,8.5,8.8,8.7,8.5,8.4,8.1,541
Riad Africa,31.6203422,-7.98556924,332,8.2,9.3,8.2,8.5,8.4,8.3,8.8,8.5,1219
Riad Vallée Verte Asni,31.23607335,-7.98473876,82,9.2,9.7,8.7,9.3,9.2,9.2,9.1,8.8,320
Riad Janoub,29.69884532,-9.72280383,201,9.3,9.7,9.3,9.5,9.5,9.2,9.2,8.9,742
Essaouira Lodge,31.51119096,-9.63605046,329,8.3,9,8.4,8.5,8.5,8.4,7.7,7.8,702
Dar Warda,31.63373468,-7.99343348,114,9.3,9.9,9.2,9.5,9.5,9.2,9.3,10,1003
Riyad Dar Karaz,33.82818046,-4.84336138,36,7.4,9,7.1,7.4,7.3,8.6,8.7,3.3,256
Riad Wazani Square & SPA,31.6258993,-7.98660307,440,9.3,9.7,9.4,9.5,9.5,9.2,9.7,9.6,1712
Kasbah Oulad Othmane,30.60426789,-6.16769135,150,9.1,9.7,8.7,9,8.8,9.2,9.3,6.9,479
HoTEL AFOULKI,29.71674418,-8.97038183,35,8.8,9.6,8.4,9.4,9.1,9.2,9.3,10,245
Atlas Resorts,31.57554884,-7.65726149,56,8.1,9.2,8,8.2,8.1,8.3,8.2,6.9,441
dar wassim el ghali,34.02726223,-6.83355352,856,8.5,9.3,8.3,8.6,8.5,8.8,9.3,8.7,553
Joli Chalet dans une ferme Pour familles exclusivement près ifrane,33.39658472,-5.29193299,28,8.2,9.1,8.4,8.7,8.6,8.8,8.7,9.1,530
Villa Katia,31.52408084,-7.94363022,164,8.5,9.3,8.4,8.8,8.5,8.6,8.1,9.8,724
Hotel Barbas,22.05454169,-16.74736038,40,6.5,8.1,5.9,6.6,6.5,7.6,7.7,8.1,334
Kanz Erremal,31.12692271,-4.01325658,162,8.1,8.6,8,8.2,8.2,8.2,9.5,8.3,680
Riad Dama & Spa,31.62691079,-7.98040867,643,9.2,9.8,9,9.4,9.2,9.3,8.8,8.4,1254
La Baraka Auberge,31.04275638,-7.13041395,364,8.8,9.6,8.4,8.8,8.7,9.3,9.5,7.9,431
PUERTO MARINA ASILAH,35.4680778,-6.03445851,296,9.4,9.6,9.3,9.4,9.5,9.3,9.7,8.8,435
Jad Auberge,31.37339299,-7.776483,80,6.8,8,6.7,7.6,7.5,7.4,6.8,4.2,301
The Best Stop,32.6873481,-4.73773077,47,9.3,9.8,9.4,9.7,9.6,9.7,9,5,267
The Medina Hostel,35.78643544,-5.81025749,674,7.4,8.6,7.2,7.2,7.2,8.1,8.6,6,251
Oceana Surf Camp,30.54592674,-9.71449167,367,7.1,8.1,6.9,7,7.1,7.3,8.9,6.7,349
Riad Selouane,31.63202418,-7.99045086,283,9.3,9.7,9.1,9.7,9.5,9.3,9.6,9.8,2005
Casa Sabila,35.17009859,-5.25871754,439,9.5,9.9,9.3,9.6,9.5,9.5,9.7,9.5,724
Dar Liouba Hotel,31.51364297,-9.7662127,226,9.1,9.7,9,9.4,9.3,9,9.1,8.8,1313
Hotel LAHLOU riad Cafeteria,34.6804445,-1.91376989,161,9.2,9.7,8.9,9.3,9.1,9.3,9.1,9.6,682
Le relais des sables,29.750877,-7.975634,43,8.4,8,8.9,9.1,9.1,7.9,8.7,10,557
Les Dunes D'Or Resort,30.40588234,-9.60019469,2,7.5,8.2,7.5,7.8,7.9,7.6,9,6.8,846
Kasbah Tizimi,31.42896065,-4.24591541,135,8,8.8,8.2,8.5,8.4,8.3,8.5,7.5,557
Villa Nora,34.88611576,-6.293782,313,7.1,8,6.6,7.1,7.2,7.1,9,6.3,491
Maroc Lodge,31.21406456,-8.24152976,24,9.4,9.9,9.4,9.7,9.8,9.3,9.8,9.9,1577
Gite Likemte,31.15599579,-7.84473824,11,8.6,9.3,8.6,9.1,8.6,9.1,8.6,9.3,113
Riad Anya & SPA,31.61934637,-7.99512863,440,9.8,10,9.7,9.8,9.8,9.6,9.6,9.2,2208
Kasbah Itrane,30.67546626,-6.39354676,19,8.8,9.4,8.5,9.2,8.2,8.9,9.3,8.8,613
Maison Vallée Du Ziz,31.76384303,-4.20363843,30,8.9,9.8,8.9,9.2,8.8,8.9,9,9.8,591
Riad Meftaha,34.02550779,-6.84252977,704,9.3,9.7,9.3,9.5,9.5,9.4,9.4,8.9,582
CASA BEACH HOTEL,33.4725246,-7.97441392,53,6.5,7.6,6.9,6.9,7.5,7.3,8.1,3.8,382
Hotel Riad Ali,31.096448,-4.006123,146,9,9.4,9,9.2,9.1,8.9,9.5,8.1,658
Serdrar Camp,30.72323704,-5.47702789,59,9.6,9.9,9.3,9.6,9.3,9.5,9.5,7.5,334
Hotel Riad Dalia Tetouan,35.5717006,-5.36702952,374,8.2,9.2,7.9,8.2,8.1,8.6,8.8,5.4,237
Tizi Maison d'Hôtes,31.29292744,-7.2392714,124,8.9,9.8,8.5,8.9,8.7,9.2,8.8,7.5,312
Marbella Beach location pour famille,33.76070361,-7.27378607,32,9.3,9.5,9.4,9.5,9.5,9.3,8.6,9.5,724
Riad De Rêve,30.33781979,-5.83961964,60,9.6,10,9.3,9.3,9.6,9.8,9.6,10,456
Riad Chorfa,31.62921288,-7.99006462,236,8.9,9.6,8.8,9.1,9,8.8,9.5,8.3,1616
Hôtel Saja,35.15490022,-2.91224977,411,8.8,9.3,8.8,9.2,9.1,9.1,8.3,9.1,669
Ecolodge La Palmeraie,30.9036608,-6.89778328,603,8.3,9,8.1,8.4,8.3,8.1,7.9,7.6,469
Maison d'hôte ''J'',30.67522173,-6.38511658,36,8.7,9.4,8.3,8.1,8.4,8.4,8.8,9.4,615
Le jardin d'habiba,32.52106377,-6.14099264,54,8.6,9.6,7.8,8.8,8.4,9.1,7.7,7.5,312
Riad Bayti,31.61961479,-7.98378165,508,9.5,9.8,9.4,9.7,9.6,9.6,9.6,9.2,1337
Riad Alia,31.620607,-7.982608,761,9.3,9.7,9.2,9.5,9.5,9.5,9.2,9.1,831
Hotel du Golf,33.70693633,-7.40099117,536,7.7,8.8,7.8,8.2,8.2,7.6,7.7,8.8,802
Kyriad Residence Casablanca,33.5938581,-7.59964087,737,7.9,8.4,8,8.3,8.4,8.1,8.4,7.2,494
Riad Dades Birds,31.27719965,-6.05508088,201,9.4,9.8,9.4,9.5,9.5,9.5,8.8,9.8,481
Auberge Palacio Sidi Hamza,32.44036485,-4.72882301,18,8.8,9.4,7.9,8.3,7.8,8.3,9.7,7.5,557
Dar Duna,31.143916,-4.026495,17,9.5,9.7,8.9,9.3,9.4,9.4,9.7,9.7,279
Gite Elkhorbat,31.49323719,-5.08821487,87,9.1,9.4,8.8,9.3,9.1,9.3,9,5,658
Fellah Hotel,31.51034332,-7.92694688,36,9,9.4,8.9,9.2,9.2,8.5,8.6,6.3,1501
maison d'hote ighrem,31.69105105,-4.94752791,23,8.9,9.7,8.9,9.2,8.8,9.1,9.2,9.7,479
Hotel Avenue Suites Deluxe,33.5780215,-7.63681773,1,7.8,8.4,7.8,8.1,8.2,8,8,8.5,853
Imsouane soul lodge,30.845273,-9.819523,226,9,9.8,8.6,8.8,8.7,8.9,8.8,8.8,424
Riad Carina,31.61905401,-7.98609495,592,9.2,9.8,9.1,9.3,9.2,9.3,9.6,8.1,1133
ASNFU AUBERGe,30.84413587,-9.81878526,19,9,9.6,8.7,9.2,8.8,8.8,9.1,9.6,368
Ksar Shama,31.19807312,-8.04934144,278,8,8.7,7.7,8.1,8.1,7.7,9.1,6.8,706
Dar Zelda,31.63161083,-7.98472166,232,9.3,9.9,9.2,9.3,9.4,9.1,9.2,8.1,1698
El Kennaria,31.62601323,-7.98643559,403,8.2,9.4,7.9,8.4,8.1,8.6,9.6,8.3,506
Rise In Valley,33.50627829,-5.18073189,119,8.7,9.2,8.3,9.1,9,8.4,8.4,5.2,663
Tamri house,30.69247402,-9.82706378,5,8.4,9.5,8.5,8,9,9,7.5,9.5,379
auberge restaurant tizgui,31.57647523,-5.58298257,27,9.6,10,9.1,9.5,9.4,10,9.7,10,256
MIGUIRNE Chez Ali,31.438971,-5.993065,29,8.9,9.7,9,9.1,8.9,8.7,9.6,7.5,446
Chez Ichou,31.49438933,-5.95080476,182,9.4,9.7,9.4,9.6,9.7,9.5,9,8.5,900
Auberge Amellagou,32.003861,-5.025084,20,9.6,10,9.6,9.9,9.8,9.8,9.6,5,381
Auberge Agoudal,32.01660631,-5.48111438,80,9.1,9.8,8.7,9.1,8.9,9.4,9.4,8,334
Villa Pomme d'Or,32.67874243,-4.74036455,397,9,9.7,8.9,9.1,9.2,9,9.2,7.9,613
Kasbah Tigmi N'Oufella,31.27624013,-7.1512413,83,9.2,9.6,8.9,9.5,9.1,8.8,9.4,9.6,546
Riad L'Orchidée Suites & Spa,31.63398588,-7.99355149,273,9.1,9.7,9,9.1,9.1,9.3,8.8,9.7,733
VANCII Hotel,35.16795222,-5.26155872,511,8.2,8.9,8.3,8.8,8.7,8.1,9.2,9.2,981
Zalagh Kasbah Hotel & Spa,31.5861123,-7.98480749,696,6.3,7.3,6.3,6.9,6.9,6.4,7.5,5,782
Tarmguist,28.97250871,-9.92649212,105,9,9.7,8.1,8.3,8.3,8.9,9,4.4,323
HOTEL BEACH CLUB LEGZIRA,29.44682578,-10.1150249,301,8.1,9.1,7.3,7.8,7.8,8.3,9.5,9.1,301
